# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_transcript_ablation	variants_effect_upstream_gene_variant
G2	EBG00000313337	EBG00000313337-1	lincRNA	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	24
PE12	Rv1172c	CCP43928	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
PE25	Rv2431c	CCP45223	protein_coding	0	0	16	0	0	0	0	16	0	0	0	0	0	0	0	0
PE27	Rv2769c	CCP45568	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
PE_PGRS35	Rv1983	CCP44753	protein_coding	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	31
PE_PGRS6	Rv0532	CCP43270	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
PE_PGRS62	Rv3812	CCP46641	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
PPE17	Rv1168c	CCP43924	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
PPE34	Rv1917c	CCP44684	protein_coding	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	15
PPE35	Rv1918c	CCP44685	protein_coding	10	3	2	2	0	1	0	0	10	0	0	0	0	0	0	2
PPE41	Rv2430c	CCP45222	protein_coding	0	0	16	0	0	0	0	16	0	0	0	0	0	0	0	0
PPE43	Rv2768c	CCP45567	protein_coding	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
PPE44	Rv2770c	CCP45569	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Rv0004	Rv0004	CCP42726	protein_coding	0	0	25	0	0	0	0	25	0	0	0	0	0	0	0	0
Rv0007	Rv0007	CCP42729	protein_coding	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	25
Rv0008c	Rv0008c	CCP42730	protein_coding	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0
Rv0010c	Rv0010c	CCP42732	protein_coding	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
Rv0011c	Rv0011c	CCP42733	protein_coding	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
Rv0012	Rv0012	CCP42734	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
